Semaine;Chamonix (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT)
2020-09-06;25,00;0,00;11,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;18,42;0,00;0,00;12,50;0,00;21,25;0,00;0,00;0,00;37,00;0,00;16,00;13,00;0,00;15,00;0,00;0,00;15,00;21,00;0,00;13,00;0,00;0,00
2020-09-13;0,00;17,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;15,00;27,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;30,00;0,00;19,00;0,00
2020-09-20;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;85,00;0,00;0,00;0,00;14,00;41,00;0,00;0,00;0,00;0,00;0,00;0,00;13,06;18,28;0,00;0,00;47,00;17,78;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;0,00
2020-09-27;0,00;0,00;13,00;0,00;0,00;0,00;0,00;15,00;0,00;29,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;28,00;0,00;20,00;0,00;23,00;21,00;0,00;0,00;0,00;14,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;30,00;40,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;0,00;0,00;13,04;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00
2020-10-11;69,00;0,00;26,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;37,75;0,00;19,53;15,62;0,00;0,00;22,58;15,05;15,00;0,00;51,00;87,00;0,00;0,00;15,00;0,00;45,00;0,00;0,00;27,00;14,00;0,00;0,00;0,00
2020-10-18;19,00;0,00;0,00;41,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;12,67;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;53,00;55,00;0,00;0,00;70,00;0,00;0,00;0,00;0,00
2020-10-25;0,00;0,00;0,00;0,00;0,00;0,00;43,00;0,00;39,00;55,00;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;21,00;0,00;42,00;15,00;0,00;46,00;23,00;0,00;26,00;0,00;16,00
2020-11-01;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;13,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;19,00;0,00;24,00;24,00;0,00;11,00;0,00;19,00;18,00;0,00;0,00;0,00
2020-11-08;29,00;34,37;0,00;107,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;46,65;0,00;0,00;30,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;23,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00
2020-11-15;0,00;0,00;13,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;9,00;0,00;0,00;66,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;23,00;0,00;0,00;12,00;0,00;35,00
2020-11-22;45,00;0,00;0,00;34,29;0,00;13,00;39,00;0,00;0,00;0,00;0,00;24,00;0,00;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;0,00;53,75;0,00;15,00;21,00;0,00;0,00;14,00;0,00;0,00;16,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00
2020-11-29;14,00;0,00;0,00;0,00;0,00;23,00;20,00;27,00;22,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;20,36;14,00;0,00;0,00;0,00;0,00;16,00;0,00;16,00;20,00;0,00;35,00;0,00;29,00;0,00;0,00;0,00;22,00;0,00;18,00
2020-12-06;27,00;37,80;0,00;0,00;81,00;0,00;0,00;0,00;22,00;0,00;17,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;16,71;0,00;0,00;28,29;16,71;0,00;0,00;13,00;18,00;0,00;0,00;0,00;17,00;0,00;0,00;46,00;14,00;28,00;0,00;0,00;0,00
2020-12-13;0,00;0,00;12,00;11,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;23,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;21,00;29,00;0,00;0,00;0,00;0,00;24,00;12,00;0,00;0,00;19,00;0,00;37,00;34,00;31,00;92,00;30,00;0,00;0,00
2020-12-20;45,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;17,00;0,00;0,00;0,00;20,00;13,00
2020-12-27;60,00;13,93;0,00;30,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,96;0,00;0,00;17,50;0,00;13,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;41,00;0,00;0,00;0,00;15,00;0,00
2021-01-03;28,00;0,00;0,00;11,85;0,00;0,00;0,00;0,00;0,00;21,00;0,00;17,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;31,00;21,00;0,00;0,00;0,00
2021-01-10;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;21,00;23,00;0,00;0,00;12,63;18,95;31,58;0,00;26,53;0,00;32,84;0,00;26,00;0,00;0,00;0,00;13,00;0,00;0,00;17,00;0,00;30,00;0,00;0,00;18,00;0,00;0,00;19,00
2021-01-17;21,00;0,00;0,00;0,00;23,00;15,00;27,00;0,00;0,00;29,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,19;0,00;0,00;0,00;12,35;0,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;20,00;0,00;12,00;0,00;0,00;13,00;0,00;0,00
2021-01-24;0,00;0,00;12,00;0,00;0,00;15,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;26,00;0,00;0,00;0,00;27,00;24,00;0,00;0,00;0,00;25,00;54,00;13,00;26,00;0,00;31,00;28,00;23,00;0,00;0,00;0,00;36,00;0,00;18,00
2021-01-31;0,00;28,00;0,00;11,00;37,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;40,00;19,00;0,00;20,00;0,00;26,00;0,00;0,00;9,00;0,00;15,00;0,00;0,00;29,00;12,00;17,00;13,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;67,00;17,00;0,00;0,00
2021-02-07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;18,00;0,00;0,00;0,00;27,00;15,00;13,00;0,00;37,00;37,00;0,00;12,00;0,00;0,00;0,00;12,00;22,00;0,00
2021-02-14;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;17,00;26,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;19,41;22,00;14,24;0,00;0,00;0,00;13,44;0,00;13,00;0,00;41,00;0,00;0,00;17,00;0,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;24,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;40,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;41,33;0,00;0,00;0,00;15,16;24,00;0,00;0,00;0,00;16,00;28,00;0,00;0,00;20,00;15,00;16,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00
2021-02-28;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;48,00;0,00;0,00;44,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;33,00;0,00;0,00;0,00;0,00;22,00;0,00;17,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00
