Semaine;Nice (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA)
2020-11-22;27,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;6,00;10,00;13,00;0,00;0,00;0,00;0,00;0,00;11,05;4,91;8,59;0,00;5,00;0,00;9,00;0,00;5,40;23,40;5,40;0,00;74,25;0,00;6,75;0,00;12,00;0,00;0,00;0,00;16,00;7,00;6,00;8,00
2020-11-29;17,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;24,29;13,36;0,00;10,93;0,00;0,00;0,00;11,00;0,00;13,60;13,60;0,00;42,50;8,50;0,00;8,50;7,00;6,00;0,00;19,00;42,00;7,00;0,00;0,00
2020-12-06;8,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;17,14;0,00;0,00;0,00;8,00;12,00;0,00;0,00;8,00;14,40;8,00;0,00;42,00;18,00;4,00;0,00;12,00;0,00;7,00;10,00;27,00;14,00;0,00;0,00
2020-12-13;12,00;0,00;0,00;0,00;0,00;5,00;0,00;21,00;5,00;7,00;0,00;11,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;32,40;6,00;0,00;0,00;4,00;0,00;6,00;6,00;12,00;24,00;8,57;0,00;40,80;21,60;0,00;7,20;6,00;17,00;4,00;16,00;24,00;0,00;0,00;0,00
2020-12-20;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;23,07;0,00;8,50;0,00;0,00;0,00;0,00;0,00;5,10;10,20;0,00;0,00;42,50;6,38;4,25;0,00;9,00;0,00;8,00;9,00;33,00;16,00;0,00;0,00
2020-12-27;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;43,15;5,23;0,00;7,85;7,00;0,00;0,00;6,00;13,22;32,11;22,67;11,33;55,86;9,71;0,00;0,00;20,00;0,00;0,00;20,00;38,00;18,00;0,00;13,00
2021-01-03;20,00;0,00;0,00;16,00;0,00;0,00;0,00;10,00;6,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;7,00;5,00;5,00;24,71;0,00;7,06;5,88;6,00;6,00;0,00;0,00;21,82;12,73;0,00;7,27;60,00;0,00;0,00;0,00;12,00;0,00;0,00;24,00;24,00;5,00;0,00;9,00
2021-01-10;24,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;10,00;8,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,84;0,00;5,05;5,05;4,00;0,00;4,00;0,00;3,69;11,08;0,00;5,54;55,20;0,00;0,00;0,00;13,00;12,00;10,00;11,00;44,00;8,00;0,00;9,00
2021-01-17;23,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;4,00;35,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,62;15,92;5,31;5,31;55,20;6,90;18,40;0,00;12,00;0,00;4,00;13,00;29,00;0,00;0,00;0,00
2021-01-24;0,00;8,00;0,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;8,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;19,00;0,00;7,00;0,00;8,00;6,00;0,00;0,00;9,00;10,00;4,00;0,00;33,00;0,00;5,00;0,00;22,00;0,00;9,00;16,00;25,00;18,00;0,00;11,00
2021-01-31;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;11,00;11,00;12,00;15,00;0,00;0,00;11,00;0,00;0,00;9,00;9,00;25,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;12,00;4,00;0,00;25,00;0,00;3,00;3,00;16,00;0,00;0,00;13,00;23,00;0,00;0,00;9,00
2021-02-07;8,00;7,00;0,00;5,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;29,33;8,00;6,67;0,00;17,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;42,67;0,00;0,00;0,00;5,00;0,00;8,00;19,00;24,00;8,00;4,00;0,00
2021-02-14;15,00;0,00;0,00;6,00;10,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;6,00;37,50;0,00;3,75;10,00;9,00;5,00;5,00;5,00;6,67;21,67;35,00;0,00;45,00;0,00;6,43;0,00;16,00;13,00;0,00;13,00;24,00;27,00;7,00;15,00
2021-02-21;10,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;32,50;0,00;0,00;0,00;14,00;0,00;6,00;0,00;0,00;10,00;5,00;0,00;57,50;12,50;7,50;0,00;7,00;13,00;0,00;5,00;25,00;12,00;0,00;0,00
2021-02-28;8,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;5,00;6,00;0,00;14,00;14,00;0,00;0,00;10,00;0,00;0,00;9,00;38,86;0,00;0,00;0,00;20,00;14,00;0,00;0,00;16,00;22,40;4,80;0,00;50,00;6,00;0,00;0,00;9,00;0,00;0,00;23,00;18,00;5,00;0,00;0,00
2021-03-07;18,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;16,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;42,00;0,00;7,20;0,00;7,00;0,00;0,00;7,00;16,20;10,80;0,00;18,00;60,75;6,75;4,50;6,75;11,00;0,00;6,00;15,00;26,00;16,00;0,00;7,00
2021-03-14;18,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;22,80;7,20;12,00;0,00;17,00;0,00;0,00;8,00;0,00;16,20;9,00;7,20;60,75;6,75;0,00;9,00;21,00;0,00;0,00;17,00;25,00;14,00;0,00;7,00
2021-03-21;10,00;8,00;0,00;0,00;5,00;0,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,75;0,00;0,00;0,00;10,00;0,00;12,00;0,00;10,00;35,00;0,00;0,00;58,00;0,00;0,00;0,00;0,00;13,00;0,00;4,00;14,00;21,00;0,00;0,00
2021-03-28;10,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;7,50;0,00;11,25;5,00;11,00;0,00;17,00;0,00;5,00;16,67;6,67;0,00;60,00;0,00;0,00;0,00;11,00;0,00;7,00;9,00;15,00;12,00;5,00;5,00
2021-04-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;6,00;0,00;5,00;0,00;0,00;0,00;13,00;0,00;4,00;9,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;18,00;2,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;12,00;0,00;7,00
2021-04-11;11,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;5,00;14,67;6,11;9,78;9,78;15,00;15,00;0,00;0,00;7,33;14,67;7,33;0,00;57,20;4,40;0,00;0,00;0,00;0,00;5,00;11,00;11,00;5,00;0,00;4,00
2021-04-18;9,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;5,00;0,00;0,00;37,29;0,00;5,14;0,00;7,00;0,00;10,00;6,00;0,00;16,20;9,00;0,00;51,75;0,00;0,00;9,00;12,00;0,00;5,00;12,00;10,00;11,00;11,00;6,00
