Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
10/10/2021;20;48,89;13,33;13,33;28,89;15,79;15,79;23,16;20;11;13;32;8;18;13;0;24;0;11;0;13;0;0;12;0;0;0;0;0;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0
17/10/2021;13;47,67;17,33;21,67;0;23;15;21;10;9;0;13;0;11;0;0;0;0;7;0;11;0;7;0;0;0;0;0;0;13;0;0;0;0;0;38;0;11;0;0;0;21;0;0
24/10/2021;14;32,67;25,67;28;9,33;22,62;22,62;21,54;7,54;23;17;15;7;8;0;0;25;11;8;29;0;0;0;0;9;10;0;0;18;8;23;11;0;0;0;0;0;0;0;0;0;13;0;0
31/10/2021;31;17,71;28,79;31;0;53,45;29,93;14,97;27,79;43;14;18;18;8;0;26;14;0;17;10;8;0;0;12;0;12;27;0;10;0;0;11;0;13;0;0;0;0;13;17;7;0;0;0
07/11/2021;14;18;18;18;20;46,31;12,92;21,54;9,69;10;34;57;15;0;12;0;0;9;9;9;17;0;16;12;0;28;21;10;12;13;0;8;8;0;9;0;0;0;0;0;0;0;0;0
14/11/2021;0;4;5;7;7;24;26;8;0;0;18;0;17;0;0;27;21;14;0;8;7;0;0;0;0;26;12;16;17;12;15;0;13;12;0;0;0;0;0;0;0;0;37;0
21/11/2021;36;29,65;10,59;10,59;42,35;22,63;0;14,4;0;9;9;0;19;16;10;10;0;10;0;13;0;0;0;0;0;15;0;0;16;9;10;0;0;7;14;0;9;0;0;14;0;0;0;0
28/11/2021;15;57,86;34,29;19,29;12,86;36;9;8;11;18;0;10;13;22;0;10;11;0;18;0;0;0;8;0;0;0;19;10;0;16;16;0;8;0;0;8;0;0;0;7;0;0;0;0
05/12/2021;39;49,83;32,5;28,17;49,83;28,46;30,57;24,24;30,57;19;22;18;35;0;20;0;0;33;9;0;23;0;15;0;0;22;25;0;29;11;16;0;0;14;0;18;0;15;0;7;0;0;0;0
12/12/2021;38;48,56;33,78;21,11;10,56;26,7;18,49;0;23,62;19;28;18;26;0;18;14;9;8;12;0;14;8;19;8;0;0;14;0;21;0;16;0;0;0;0;0;0;9;0;0;10;0;0;0
19/12/2021;31;50,93;44,29;44,29;33,21;37,41;38,48;26,72;39,55;0;20;0;0;10;26;15;22;24;20;0;8;25;29;0;15;0;10;0;0;26;15;0;0;0;0;13;0;18;0;0;15;0;0;0
26/12/2021;49;87,35;74,57;59,65;51,13;59,43;91,74;43,79;59,43;24;59;22;29;29;36;9;20;40;18;0;35;12;36;15;0;18;0;19;19;18;0;0;0;0;0;20;10;0;9;0;66;0;0;0
02/01/2022;53;69,96;48,76;65,72;53;103,92;31,18;63,39;45,73;13;34;20;27;30;30;31;27;20;45;30;19;0;31;0;0;32;40;22;0;0;32;16;20;0;0;32;0;0;10;13;0;0;0;0
09/01/2022;49;74,57;55,39;34,09;61,78;60,47;16,68;59,43;12,51;30;25;57;0;22;35;22;22;27;19;8;0;9;21;0;0;24;22;18;16;9;13;13;0;0;0;11;18;0;0;0;17;0;0;0
16/01/2022;52;84,5;47,67;41,17;60,67;48,88;0;58,24;52;23;42;46;30;23;22;41;18;37;18;12;46;0;0;0;0;0;9;0;17;13;31;0;0;0;17;8;0;0;13;0;0;0;0;0
23/01/2022;28;101,23;32,31;73,23;56;59,11;34,22;42,52;41,48;40;33;47;18;0;51;15;30;29;27;27;10;0;31;13;11;21;9;0;11;15;15;0;0;0;0;0;11;0;0;0;16;0;0;0
30/01/2022;31;113,67;51,67;99,2;39,27;55,8;31;37,2;48,57;60;35;51;16;28;13;0;0;31;22;14;9;0;12;20;0;10;0;0;9;9;9;0;0;0;0;0;0;0;0;0;0;0;0;7
06/02/2022;37;63,72;37;92,5;65,78;34,94;20,56;42,14;43,17;54;47;26;34;24;15;26;10;42;10;22;6;0;17;26;0;10;20;21;33;23;39;9;0;17;21;0;0;27;0;0;0;0;0;7
