Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-04-25;0,00;29,00;0,00;15,00;0,00;24,00;0,00;0,00;0,00;10,00;25,00;29,00;0,00;13,00;0,00;10,00;0,00;0,00;35,00;21,00;0,00
2021-05-02;24,00;0,00;0,00;12,57;0,00;17,00;0,00;14,00;0,00;18,67;40,00;48,00;26,67;0,00;37,33;29,33;26,67;0,00;18,95;0,00;0,00
2021-05-09;24,00;25,14;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;104,00;106,67;0,00;0,00;0,00;56,00;0,00;0,00;0,00;22,74;0,00
2021-05-16;31,00;0,00;13,29;0,00;0,00;27,00;0,00;0,00;0,00;0,00;93,00;93,00;15,50;0,00;0,00;67,17;46,50;0,00;58,28;26,04;0,00
2021-05-23;0,00;25,00;14,00;12,00;0,00;57,00;0,00;0,00;22,00;0,00;40,00;36,00;0,00;7,00;0,00;39,00;0,00;0,00;57,00;13,00;0,00
2021-05-30;20,00;0,00;27,06;0,00;40,00;0,00;0,00;0,00;0,00;0,00;50,00;72,50;15,00;0,00;20,00;91,43;0,00;20,00;22,50;0,00;31,25
2021-06-06;0,00;16,00;33,00;0,00;17,00;38,00;0,00;0,00;0,00;0,00;33,00;31,00;0,00;0,00;0,00;55,00;8,00;34,00;25,00;0,00;0,00
2021-06-13;0,00;14,00;0,00;0,00;0,00;62,00;0,00;0,00;0,00;0,00;28,00;52,00;6,00;0,00;0,00;34,00;0,00;30,00;0,00;17,00;0,00
2021-06-20;29,00;51,31;0,00;0,00;0,00;86,00;0,00;0,00;15,00;0,00;150,27;200,36;0,00;0,00;0,00;89,64;44,82;0,00;58,00;0,00;0,00
2021-06-27;37,00;90,19;61,28;34,69;35,84;56,00;0,00;0,00;0,00;0,00;79,29;148,00;0,00;0,00;0,00;163,86;18,50;0,00;98,67;18,50;22,20
2021-07-04;0,00;60,00;33,00;0,00;45,00;45,00;0,00;0,00;18,00;9,00;59,00;81,00;0,00;0,00;0,00;21,00;25,00;0,00;61,00;13,00;18,00
2021-07-11;27,00;44,61;39,91;31,70;0,00;31,00;0,00;0,00;0,00;0,00;191,70;129,60;0,00;0,00;0,00;118,80;32,40;0,00;94,50;23,32;0,00
2021-07-18;26,00;61,04;20,35;0,00;0,00;38,00;68,00;22,00;17,00;0,00;93,60;148,20;15,60;0,00;0,00;111,80;44,20;22,29;81,71;45,81;47,05
2021-07-25;0,00;0,00;0,00;15,00;0,00;40,00;36,00;0,00;0,00;13,00;60,00;67,00;0,00;0,00;13,00;63,00;0,00;0,00;57,00;0,00;0,00
2021-08-01;16,00;21,71;33,14;53,71;0,00;0,00;0,00;0,00;19,00;16,00;138,67;181,33;0,00;0,00;0,00;154,67;0,00;0,00;72,62;0,00;0,00
