Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-06-27;26,00;28,00;21,00;14,00;0,00;67,60;14,30;0,00;31,20;0,00;109,20;109,20;36,40;0,00;0,00;104,00;33,09;0,00;30,59;0,00;62,71
2021-07-04;100,00;0,00;48,00;62,00;0,00;117,11;22,37;0,00;0,00;21,62;62,16;154,05;21,62;0,00;20,93;165,12;0,00;65,15;34,85;65,15;43,94
2021-07-11;82,00;22,00;40,00;0,00;34,00;92,58;17,19;14,55;34,39;37,03;63,48;121,68;60,84;0,00;0,00;131,20;25,77;44,04;33,41;0,00;24,30
2021-07-18;53,00;44,00;17,00;33,00;0,00;108,59;67,22;0,00;19,39;23,85;151,05;151,05;0,00;0,00;0,00;126,74;0,00;0,00;60,57;0,00;51,49
2021-07-25;64,00;23,00;42,00;0,00;0,00;79,67;16,98;0,00;35,27;0,00;144,00;141,33;0,00;0,00;0,00;139,85;14,22;0,00;15,24;102,10;45,71
2021-08-01;0,00;0,00;19,00;79,00;0,00;60,00;71,00;0,00;16,00;21,00;31,00;42,00;0,00;0,00;13,00;49,00;23,00;21,00;24,00;10,00;0,00
2021-08-08;37,00;29,00;35,00;0,00;0,00;22,46;46,25;31,71;43,61;44,93;76,64;105,71;34,36;0,00;0,00;104,06;0,00;0,00;46,25;16,96;0,00
2021-08-15;49,00;15,00;28,00;53,00;0,00;0,00;56,74;0,00;41,26;19,06;149,72;76,22;0,00;21,00;0,00;60,67;0,00;41,34;21,44;21,44;35,22
2021-08-22;29,00;0,00;0,00;36,00;0,00;67,23;0,00;0,00;0,00;89,64;60,64;168,73;0,00;0,00;0,00;82,17;0,00;33,58;53,42;0,00;30,53
2021-08-29;43,00;19,00;28,00;0,00;27,00;72,97;0,00;0,00;0,00;16,13;91,38;43,00;0,00;0,00;0,00;105,11;16,72;36,86;36,86;15,36;0,00
2021-09-05;28,00;26,00;0,00;0,00;18,00;30,67;0,00;0,00;0,00;0,00;70,00;142,80;0,00;0,00;0,00;18,67;0,00;0,00;0,00;34,22;40,44
2021-09-12;36,00;0,00;16,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;102,46;124,62;0,00;0,00;16,80;72,00;0,00;0,00;92,35;0,00;0,00
2021-09-19;52,00;29,00;0,00;0,00;0,00;40,30;0,00;0,00;0,00;0,00;87,58;62,95;19,16;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00
2021-09-26;0,00;34,00;0,00;0,00;28,00;0,00;24,00;0,00;0,00;0,00;28,00;22,00;28,00;8,00;0,00;0,00;0,00;26,00;0,00;13,00;0,00
2021-10-03;0,00;0,00;0,00;47,00;0,00;0,00;28,00;21,00;18,00;9,00;23,00;30,00;9,00;20,00;0,00;20,00;0,00;0,00;15,00;0,00;0,00
2021-10-10;37,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;97,79;23,79;0,00;0,00;0,00;37,00;0,00;0,00;32,38;32,38;0,00
2021-10-17;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;91,80;27,00;0,00;31,50;18,00;31,50;20,25;0,00;48,00;22,50;0,00
2021-10-24;18,00;0,00;0,00;0,00;0,00;0,00;33,43;0,00;0,00;0,00;110,57;28,29;0,00;0,00;51,75;60,75;22,50;0,00;0,00;0,00;0,00
2021-10-31;20,00;24,00;0,00;0,00;0,00;26,67;116,00;0,00;26,67;0,00;117,14;25,71;0,00;17,50;0,00;50,00;0,00;0,00;41,54;0,00;0,00
2021-11-07;18,00;34,00;18,00;0,00;0,00;39,86;0,00;0,00;0,00;0,00;82,29;38,57;0,00;0,00;0,00;0,00;0,00;0,00;25,50;0,00;0,00
2021-11-14;0,00;0,00;0,00;0,00;29,00;0,00;21,00;0,00;0,00;8,00;22,00;30,00;0,00;0,00;19,00;17,00;0,00;14,00;0,00;0,00;12,00
2021-11-21;0,00;0,00;61,00;0,00;0,00;16,00;0,00;0,00;0,00;9,00;21,00;0,00;0,00;0,00;0,00;6,00;8,00;0,00;0,00;0,00;0,00
2021-11-28;0,00;0,00;0,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;31,00;21,00;0,00;0,00;11,00;15,00;0,00;0,00;0,00;0,00;13,00
2021-12-05;16,00;0,00;20,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;64,00;0,00;0,00;0,00;0,00;22,86;0,00;23,27;30,55;0,00;0,00
2021-12-12;23,00;0,00;0,00;20,00;15,00;24,28;54,94;0,00;0,00;0,00;61,33;0,00;0,00;23,00;27,60;46,00;0,00;44,47;18,40;0,00;0,00
2021-12-19;43,00;46,00;0,00;0,00;0,00;16,94;0,00;0,00;29,97;0,00;40,31;18,81;0,00;0,00;0,00;23,89;0,00;0,00;64,50;0,00;0,00
