Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-11-07;16,00;54,86;43,43;29,71;22,86;17,33;22,67;14,67;62,67;14,00;0,00;43,00;26,00;0,00;11,00;24,00;0,00;0,00;14,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-11-14;57,00;31,92;0,00;25,08;41,04;10,36;0,00;29,80;33,68;0,00;17,00;0,00;34,00;0,00;14,00;15,00;0,00;20,00;0,00;0,00;0,00;14,00;28,00;0,00;15,00;0,00;15,00;0,00
2021-11-21;41,00;45,56;27,33;43,28;25,06;14,09;26,91;0,00;11,53;20,00;0,00;25,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;18,00;0,00;11,00;0,00;23,00;21,00;0,00
2021-11-28;32,00;66,29;16,00;13,71;41,14;25,33;21,33;0,00;38,67;11,00;0,00;11,00;41,00;0,00;20,00;0,00;19,00;19,00;0,00;22,00;21,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00
2021-12-05;47,00;69,38;47,00;31,33;20,14;56,14;48,31;26,11;22,19;19,00;31,00;19,00;24,00;30,00;22,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00
2021-12-12;38,00;53,65;31,29;35,76;49,18;45,86;81,24;0,00;0,00;17,00;0,00;17,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;11,00;0,00;17,00;0,00
2021-12-19;22,00;33,00;59,40;96,80;57,20;46,59;47,88;0,00;37,53;29,00;49,00;22,00;32,00;36,00;54,00;0,00;0,00;0,00;25,00;29,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00
2021-12-26;54,00;110,35;93,91;75,13;100,96;114,43;91,29;37,29;86,14;67,00;55,00;28,00;41,00;0,00;57,00;33,00;16,00;0,00;45,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-02;25,00;97,73;56,82;111,36;125,00;17,11;67,11;69,74;55,26;43,00;0,00;65,00;0,00;15,00;53,00;0,00;48,00;14,00;24,00;18,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00
2022-01-09;78,00;96,35;71,12;75,71;82,59;28,60;61,10;53,30;26,00;76,00;39,00;41,00;12,00;13,00;26,00;17,00;30,00;18,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;24,00;11,00;24,00
2022-01-16;90,00;103,50;81,00;67,50;58,50;43,04;88,70;40,43;56,09;33,00;67,00;32,00;64,00;0,00;39,00;0,00;0,00;0,00;0,00;0,00;42,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2022-01-23;62,00;124,00;45,93;103,33;71,19;29,71;58,13;62,00;51,67;65,00;0,00;27,00;0,00;0,00;16,00;40,00;16,00;0,00;15,00;12,00;23,00;14,00;23,00;0,00;10,00;0,00;0,00;0,00
