Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2021-12-26;43,00;60,79;0,00;0,00;59,31;0,00;0,00;0,00;0,00;0,00;81,70;60,20;0,00;43,00;0,00;115,56;24,19;0,00;0,00;0,00;0,00
2022-01-02;65,00;73,86;0,00;19,20;0,00;22,00;0,00;0,00;0,00;20,31;73,13;28,44;0,00;0,00;0,00;113,75;0,00;0,00;0,00;101,56;0,00
2022-01-09;0,00;49,00;0,00;0,00;0,00;0,00;56,00;0,00;23,00;0,00;11,00;10,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2022-01-16;45,00;23,23;0,00;24,68;0,00;34,00;0,00;0,00;0,00;0,00;90,00;28,64;0,00;26,47;0,00;68,82;0,00;0,00;19,09;0,00;25,91
2022-01-23;0,00;59,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;16,00;4,00;0,00;0,00;0,00;44,00;24,00;0,00;0,00;15,00;0,00
2022-01-30;53,00;67,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57,08;0,00;0,00;79,50;58,30;0,00;0,00;0,00;0,00;0,00
2022-02-06;0,00;36,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;17,00;18,00;0,00;0,00;0,00;45,00;0,00;0,00;0,00;22,00;0,00
2022-02-13;0,00;39,00;11,00;0,00;12,00;0,00;0,00;0,00;14,00;6,00;22,00;3,00;0,00;0,00;6,00;35,00;0,00;13,00;0,00;0,00;0,00
2022-02-20;44,00;58,67;26,40;0,00;19,07;26,00;0,00;25,00;0,00;0,00;56,00;24,00;0,00;0,00;0,00;155,29;46,59;0,00;30,67;0,00;0,00
2022-02-27;64,00;23,81;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;38,40;98,13;0,00;18,67;0,00;146,67;0,00;0,00;0,00;0,00;0,00
2022-03-06;33,00;42,00;25,50;0,00;15,00;0,00;0,00;0,00;0,00;0,00;82,50;57,75;0,00;0,00;0,00;129,25;0,00;0,00;0,00;0,00;0,00
2022-03-13;67,00;55,09;20,84;0,00;0,00;15,00;0,00;0,00;15,00;0,00;67,00;67,00;0,00;0,00;0,00;109,88;0,00;0,00;0,00;23,24;0,00
2022-03-20;50,00;63,24;0,00;17,65;0,00;0,00;0,00;12,00;0,00;41,67;50,00;133,33;25,00;36,84;0,00;107,89;0,00;0,00;0,00;16,22;0,00
2022-03-27;69,00;64,60;0,00;39,64;0,00;0,00;11,00;14,00;20,00;40,59;0,00;77,12;0,00;0,00;10,62;98,19;23,88;18,94;0,00;0,00;16,24
2022-04-03;19,00;52,62;0,00;17,54;0,00;0,00;0,00;0,00;0,00;0,00;83,60;102,60;0,00;0,00;0,00;114,00;0,00;0,00;0,00;0,00;17,64
2022-04-10;59,00;69,33;0,00;0,00;0,00;0,00;0,00;15,00;0,00;21,07;71,64;113,79;0,00;37,55;0,00;120,68;0,00;17,84;0,00;0,00;0,00
2022-04-17;48,00;52,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;72,00;76,00;0,00;0,00;34,67;82,67;0,00;0,00;0,00;0,00;36,00
2022-04-24;20,00;82,86;0,00;0,00;0,00;44,00;0,00;0,00;0,00;20,00;40,00;96,00;0,00;0,00;0,00;110,00;32,50;0,00;0,00;0,00;26,67
2022-05-01;30,00;16,50;0,00;12,00;0,00;13,00;0,00;0,00;16,00;0,00;68,57;158,57;0,00;0,00;0,00;120,00;0,00;0,00;25,91;40,91;25,91
2022-05-08;43,00;38,55;0,00;0,00;0,00;19,00;15,00;0,00;0,00;12,90;77,40;159,10;0,00;0,00;24,19;64,50;0,00;0,00;0,00;16,13;0,00
2022-05-15;49,00;59,39;38,61;0,00;0,00;0,00;24,00;30,00;0,00;0,00;69,42;118,42;0,00;0,00;0,00;198,72;0,00;0,00;0,00;17,69;0,00
2022-05-22;35,00;117,17;0,00;0,00;0,00;0,00;0,00;0,00;34,00;17,50;65,63;157,50;13,13;0,00;0,00;212,69;0,00;0,00;0,00;140,00;25,20
2022-05-29;0,00;64,00;0,00;0,00;0,00;24,00;16,00;0,00;52,00;4,00;23,00;36,00;9,00;0,00;10,00;28,00;6,00;0,00;0,00;0,00;0,00
2022-06-05;35,00;51,04;0,00;26,25;29,17;0,00;0,00;35,00;0,00;0,00;70,00;153,13;17,50;0,00;18,85;191,15;0,00;0,00;0,00;44,42;14,81
2022-06-12;42,00;85,45;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;92,40;172,20;0,00;23,63;15,75;162,75;0,00;25,74;0,00;0,00;0,00
2022-06-19;41,00;62,96;0,00;26,36;14,64;0,00;0,00;19,00;22,00;0,00;110,70;147,60;0,00;0,00;0,00;139,40;0,00;64,23;0,00;0,00;15,03
2022-06-26;76,00;128,62;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;101,33;236,44;0,00;0,00;0,00;233,24;0,00;0,00;17,64;0,00;0,00
2022-07-03;27,00;51,00;0,00;0,00;0,00;0,00;17,00;0,00;19,00;15,43;123,43;181,29;0,00;0,00;0,00;151,20;0,00;0,00;20,25;0,00;22,95
2022-07-10;38,00;71,44;25,84;0,00;0,00;64,00;0,00;0,00;35,00;0,00;122,44;168,89;0,00;0,00;0,00;181,86;0,00;0,00;0,00;21,71;0,00
2022-07-17;50,00;55,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;125,00;70,83;0,00;50,00;0,00;163,16;0,00;0,00;0,00;17,57;43,24
2022-07-24;44,00;63,07;0,00;0,00;0,00;0,00;0,00;0,00;68,00;20,00;188,00;104,00;0,00;0,00;0,00;196,71;0,00;0,00;44,00;0,00;19,25
2022-07-31;38,00;133,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;236,44;152,00;21,11;16,29;0,00;271,43;0,00;0,00;0,00;0,00;0,00
2022-08-07;48,00;150,00;0,00;0,00;45,00;57,00;26,00;0,00;55,00;16,00;108,00;148,00;0,00;0,00;0,00;144,00;0,00;0,00;0,00;0,00;0,00
2022-08-14;56,00;26,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;136,00;108,00;44,00;24,00;0,00;146,67;0,00;0,00;0,00;0,00;19,12
2022-08-21;28,00;47,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;244,00;112,00;0,00;0,00;17,82;183,27;0,00;0,00;0,00;17,33;25,33
2022-08-28;32,00;39,27;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;184,00;92,00;0,00;0,00;16,00;120,00;0,00;0,00;0,00;0,00;0,00
2022-09-04;0,00;27,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;23,00;0,00;0,00;0,00;52,00;0,00;0,00;30,00;15,00;0,00
2022-09-11;0,00;9,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;46,00;22,00;0,00;0,00;0,00;20,00;0,00;13,00;0,00;0,00;12,00
2022-09-18;26,00;29,06;62,71;0,00;0,00;0,00;0,00;0,00;43,00;0,00;286,00;65,00;0,00;31,20;0,00;111,80;13,00;0,00;26,00;17,79;0,00
2022-09-25;44,00;45,47;19,07;0,00;0,00;0,00;37,00;0,00;0,00;0,00;364,00;60,00;0,00;23,29;0,00;51,76;0,00;19,25;0,00;0,00;13,75
2022-10-02;41,00;57,11;0,00;16,11;0,00;0,00;0,00;0,00;18,00;16,40;221,40;61,50;0,00;0,00;0,00;101,13;0,00;0,00;13,67;19,13;0,00
