Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-01-03;19,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;3,00;0,00;0,00;0,00;3,00;15,00;0,00;0,00;3,00;0,00;10,00;3,00;0,00;0,00;5,00;0,00;0,00;5,00
2021-01-10;29,00;0,00;5,00;0,00;6,00;0,00;0,00;6,00;0,00;11,00;0,00;12,00;0,00;0,00;0,00;0,00;4,00;0,00;4,14;3,11;3,11;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2021-01-17;11,00;0,00;4,00;0,00;0,00;0,00;7,00;6,00;5,00;5,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-24;55,00;3,00;0,00;3,00;0,00;0,00;18,00;10,00;0,00;5,00;7,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;3,06;6,11;4,07;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2021-01-31;40,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-02-07;6,00;7,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;18,00;3,00;8,00;3,00
2021-02-14;16,00;4,00;7,00;0,00;3,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;4,27;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;23,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;0,00;5,00;0,00;4,00;0,00
2021-02-28;15,00;0,00;0,00;0,00;3,00;11,00;0,00;7,00;0,00;15,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00
2021-03-07;11,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;5,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,40;0,00;4,00;0,00;0,00;0,00;4,00;0,00
2021-03-14;9,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;5,00;10,00;0,00;6,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00
2021-03-21;19,00;0,00;0,00;5,00;3,00;0,00;0,00;5,00;0,00;8,00;10,00;0,00;0,00;4,00;0,00;11,00;0,00;0,00;3,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2021-03-28;18,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;18,00;0,00;0,00;0,00;4,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;7,00;4,00;0,00;7,00;0,00;3,00;0,00;0,00;0,00
2021-04-11;12,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;0,00;5,00;0,00;0,00;0,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;4,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2021-04-25;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00
2021-05-02;8,00;0,00;0,00;0,00;0,00;5,00;0,00;6,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;4,00;0,00
2021-05-09;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;12,38;0,00;0,00;0,00;0,00;0,00;13,00;0,00
2021-05-16;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00
2021-05-23;14,00;0,00;5,00;5,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;5,00;0,00;0,00;0,00;4,00;8,00;0,00;5,00;0,00;0,00;3,00;0,00;5,00;0,00;5,00;0,00
2021-05-30;27,00;0,00;3,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;4,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00
2021-06-06;16,00;5,00;0,00;0,00;4,00;0,00;16,00;4,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;18,00;0,00;0,00;0,00;14,00;7,00;6,00;0,00;0,00;0,00;4,00;7,00;5,00;0,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-06-20;16,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;14,00;0,00;3,00;12,00
2021-06-27;32,00;0,00;0,00;4,00;6,00;10,00;6,00;0,00;0,00;4,00;11,00;0,00;4,00;0,00;8,00;0,00;8,00;9,29;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;4,00;0,00
2021-07-04;34,00;0,00;4,00;0,00;25,00;7,00;4,00;0,00;5,00;0,00;9,00;10,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2021-07-11;43,00;0,00;0,00;0,00;0,00;0,00;11,00;5,00;0,00;9,00;4,00;4,00;10,00;0,00;0,00;0,00;0,00;7,17;3,07;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;4,00
2021-07-18;41,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;14,00;10,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,20;20,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-25;52,00;4,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;3,00;0,00;0,00;5,00;7,00;0,00;17,00;4,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-01;39,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;5,00;7,00;10,00;10,00;0,00;0,00;7,00;10,00;0,00;6,16;9,24;4,11;0,00;5,00;8,00;0,00;0,00;0,00;0,00
2021-08-08;39,00;5,00;0,00;0,00;0,00;0,00;4,00;4,00;7,00;0,00;5,00;11,00;0,00;0,00;8,00;8,00;4,00;0,00;0,00;0,00;9,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-15;49,00;0,00;8,00;0,00;5,00;0,00;0,00;0,00;4,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;7,30;0,00;5,21;0,00;4,00;0,00;0,00;0,00;7,00;0,00
