Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2021-08-08;41,00;19,00;9,00;5,00;19,00;5,00;12,00;8,00;0,00;0,00;10,00;6,00;5,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-08-15;47,00;13,00;5,00;5,00;16,00;9,00;4,00;14,00;0,00;4,00;0,00;7,00;4,00;2,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2021-08-22;38,00;19,00;5,00;5,00;15,00;6,00;4,00;9,00;0,00;0,00;0,00;7,00;0,00;5,00;0,00;3,00;0,00;11,00;0,00;0,00;0,00
2021-08-29;28,00;17,00;0,00;6,00;5,00;5,00;6,00;9,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-09-05;32,00;14,00;4,00;7,00;9,00;0,00;8,00;5,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-12;33,00;4,00;3,00;3,00;13,00;5,00;5,00;7,00;0,00;0,00;0,00;4,00;5,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-09-19;26,00;2,00;0,00;2,00;10,00;3,00;6,00;3,00;0,00;3,00;0,00;11,00;0,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;19,00;8,00;0,00;8,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;3,00;0,00
2021-10-03;25,00;12,00;0,00;3,00;0,00;8,00;4,00;5,00;3,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2021-10-10;21,00;2,00;3,00;5,00;5,00;10,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00
2021-10-17;19,00;13,00;0,00;3,00;0,00;4,00;7,00;10,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2021-10-24;19,00;3,00;0,00;6,00;3,00;6,00;3,00;4,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00
2021-10-31;9,00;5,00;0,00;0,00;9,00;0,00;5,00;3,00;7,00;0,00;3,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-07;9,00;0,00;0,00;8,00;0,00;6,00;3,00;7,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;2,00;7,00;0,00;0,00;0,00;0,00
2021-11-14;12,00;0,00;0,00;2,00;4,00;3,00;4,00;8,00;0,00;0,00;2,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-21;12,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2021-11-28;13,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2021-12-05;6,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-12;7,00;0,00;0,00;4,00;6,00;0,00;2,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-12-19;11,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00
2021-12-26;23,00;21,00;5,00;3,00;5,00;4,00;0,00;3,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00
2022-01-02;12,00;7,00;4,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;10,00;0,00
2022-01-09;8,00;0,00;6,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;12,00;0,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;4,00
2022-01-16;20,00;16,00;0,00;4,00;0,00;4,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00
2022-01-23;12,00;5,00;3,00;6,00;0,00;4,00;0,00;0,00;3,00;0,00;0,00;4,00;0,00;0,00;6,00;0,00;0,00;7,00;0,00;0,00;0,00
2022-01-30;28,00;7,00;12,00;2,00;5,00;0,00;3,00;3,00;0,00;4,00;0,00;3,00;4,00;2,00;11,00;4,00;8,00;0,00;0,00;0,00;0,00
