Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2022-01-09;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;20,00;0,00;34,00;0,00;20,00;0,00;0,00;0,00
2022-01-16;0,00;0,00;19,00;0,00;0,00;21,00;0,00;0,00;0,00;12,00;26,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-23;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;10,00;16,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00
2022-01-30;0,00;0,00;0,00;0,00;0,00;28,00;0,00;21,00;0,00;14,00;14,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00
2022-02-06;0,00;0,00;0,00;0,00;29,00;0,00;19,00;37,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-02-13;0,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;24,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00
2022-02-20;21,00;12,35;0,00;0,00;19,76;0,00;0,00;36,00;0,00;12,25;59,50;47,25;0,00;0,00;0,00;0,00;26,25;0,00;16,00;0,00;0,00
2022-02-27;12,00;0,00;16,00;0,00;0,00;0,00;0,00;12,00;14,00;0,00;40,00;78,00;0,00;0,00;0,00;40,36;0,00;0,00;0,00;13,00;0,00
2022-03-06;0,00;0,00;28,00;0,00;0,00;25,00;0,00;0,00;24,00;0,00;33,00;0,00;0,00;0,00;0,00;23,00;13,00;0,00;15,00;0,00;0,00
2022-03-13;15,00;0,00;11,54;27,69;0,00;0,00;18,00;13,00;0,00;0,00;30,00;76,67;23,33;0,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00
2022-03-20;0,00;19,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;25,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00
2022-03-27;0,00;25,00;0,00;12,00;0,00;24,00;0,00;0,00;0,00;0,00;36,00;31,00;0,00;0,00;32,00;23,00;0,00;14,00;0,00;0,00;0,00
2022-04-03;0,00;10,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;31,00;25,00;0,00;65,00;42,00;29,00;0,00;24,00;11,00;0,00;16,00
2022-04-10;0,00;25,00;21,00;28,00;0,00;58,00;0,00;0,00;0,00;0,00;25,00;57,00;0,00;0,00;17,00;15,00;0,00;20,00;0,00;33,00;19,00
2022-04-17;0,00;18,00;0,00;0,00;0,00;24,00;0,00;0,00;57,00;9,00;47,00;56,00;0,00;0,00;0,00;54,00;13,00;0,00;12,00;22,00;18,00
2022-04-24;28,00;0,00;10,96;13,39;0,00;22,00;0,00;34,00;14,00;0,00;85,87;56,00;0,00;0,00;0,00;0,00;14,00;0,00;20,00;0,00;0,00
2022-05-01;12,00;15,60;0,00;120,00;0,00;22,00;0,00;19,00;0,00;42,86;25,71;68,57;0,00;0,00;0,00;21,82;0,00;15,00;11,00;0,00;29,00
2022-05-08;21,00;40,76;0,00;39,53;0,00;0,00;0,00;0,00;18,00;0,00;93,55;55,36;0,00;12,16;42,00;30,95;0,00;0,00;28,00;0,00;0,00
2022-05-15;14,00;0,00;38,18;0,00;15,27;39,00;15,00;21,00;0,00;0,00;59,50;33,25;0,00;0,00;0,00;0,00;16,15;0,00;0,00;0,00;0,00
2022-05-22;0,00;19,00;0,00;14,00;14,00;31,00;0,00;0,00;29,00;0,00;33,00;34,00;0,00;17,00;0,00;14,00;0,00;0,00;24,00;0,00;0,00
2022-05-29;20,00;13,75;0,00;15,00;0,00;0,00;16,00;0,00;0,00;0,00;87,27;16,36;12,73;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00
2022-06-05;64,00;0,00;0,00;0,00;0,00;21,00;0,00;16,00;0,00;0,00;56,89;51,56;0,00;31,48;0,00;40,92;15,74;0,00;0,00;61,00;0,00
2022-06-12;0,00;11,00;0,00;0,00;0,00;0,00;32,00;60,00;0,00;9,00;49,00;44,00;29,00;0,00;0,00;30,00;0,00;0,00;16,00;0,00;15,00
2022-06-19;22,00;17,11;28,11;0,00;19,56;32,00;20,00;54,00;0,00;44,00;47,67;42,17;0,00;0,00;0,00;80,67;23,05;93,00;0,00;0,00;32,00
2022-06-26;15,00;0,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;22,50;56,25;65,63;0,00;17,14;0,00;26,79;0,00;0,00;20,00;18,00;0,00
2022-07-03;28,00;0,00;0,00;0,00;47,48;25,00;0,00;0,00;23,00;0,00;49,00;82,25;0,00;0,00;0,00;44,59;0,00;0,00;0,00;16,00;0,00
